[BackstageTalkSet2032:0] あ、とーこちゃんとるいるいだ
[Scenarioarea4616:3] あ、日菜先輩！とーこちゃんとここで待ち合わせしてるんですけど、遅れるって連絡がきて……
[Scenarioarea4705:27] あははは……とーこちゃん、わかってなかったんだ
[Scenarioarea4713:21] とーこちゃんがラッピング決めたんですよ～。るいるいはすぐ開けるから必要ないって言ったんですけど、こういうのは雰囲気が大事だからって
[Scenarioarea4986:1] わぁ～！　やっぱり、クリスマスマーケットは華やかでいいね。みてみて、とーこちゃん！ツリーの下にプレゼントボックスが置いてあるよ
[Scenarioarea4987:29] あ～。とーこちゃん、飽きてるでしょ～？
[Scenarioarea5308:28] その点、とーこちゃんはさすが呉服屋さんの娘って感じ。ススって歩けちゃうんだもん
[Scenarioarea5308:45] あはは、とーこちゃんご満悦だ～
[Scenarioarea5355:2] ん？　とーこちゃん、私たちの曲聴こえない？
[Scenarioarea5355:8] あれ、でもとーこちゃん、この前練習遅れてきたよね？
[Scenarioband6-004:154] へー、そういえば、とーこちゃんSNSにライブのこと投稿してたっけ……
[Scenarioband6-005:9] とーこちゃん、休み時間もクラスの子にギター見せてたよね
[Scenarioband6-009:5] あはは、とーこちゃん、ホントこれ好きだよねー
[Scenarioband6-010:19] さ、さすがとーこちゃん、ホントに友達多いね……！
[Scenarioband6-013:35] と、とーこちゃん！
[Scenarioband6-016:21] とーこちゃんは気分屋だね〜
[Scenarioband6-016:204] とーこちゃんがハマってるのって虹色のスムージーじゃなかった？
[Scenarioband6-018:107] あれ？　なんかヘンだった？とーこちゃんのデザイン通りに作ったんだけど……
[Scenarioband6-020:129] （しろちゃん、ちょっと緊張してるみたいだけど楽しそう。つーちゃんもとーこちゃんも。るいるい……もきっと、今、ステージに立ってること楽しんでるよね）
[Scenarioband6-022:45] だって、とーこちゃん、飽きっぽいし……
[Scenarioband6-022:133] まあ、とーこちゃん向きのイベントじゃなさそうだけど……ん？
[Scenarioband6-023:127] とーこちゃんは部活に顔を出してから来るって。るいるいは生徒会の仕事が終わってから来るって言ってたよー
[Scenarioband6-024:10] どうどう、とーこちゃん。どうどう〜
[Scenarioband6-024:125] とーこちゃんだからじゃない……？
[Scenarioband6-024:153] とーこちゃん、さっきまで怒ってたのに、新曲って聞いてテンション上がってる？
[Scenarioband6-026:57] あ、とーこちゃん、話そらした〜
[Scenarioband6-027:47] お、落ち着いて、とーこちゃん！
[Scenarioband6-031:17] とーこちゃん！
[Scenarioband6-031:25] とーこちゃん……！
[Scenarioband6-031:50] とーこちゃん、それはちゃんと払おうよ〜
[Scenarioband6-032:185] とーこちゃん、冴えてる〜。広町から花マルあげちゃいましょう〜
[Scenarioband6-034:122] と言いつつも、とーこちゃん、なんだかうれしそう
[Scenarioepisode1018:19] うんうん、カッコよかったよ～！とーこちゃんらしい演奏だったね
[Scenarioepisode1018:39] ……？　どうしたのとーこちゃん？
[Scenarioepisode1018:89] あはは、とーこちゃんはポジティブだなぁ
[Scenarioepisode1018:107] こういうとーこちゃんとるいるいも、なんだか見慣れてきた感じするね～
[Scenarioepisode1018:131] とーこちゃん、ああやって人見知りしないのすごいよね～先輩相手でもぐいぐい行っちゃうし
[Scenarioepisode1098:83] あはは〜。とーこちゃん家ってそんな感じなんだね〜。私は、たま〜になら料理するかな
[Scenarioepisode1100:8] あ、とーこちゃん。るいるいもまだ来てないし、大丈夫だよ～
[Scenarioepisode1100:59] うんうん、とーこちゃんの見立てバッチリだったね～。目を引く派手さの中に、ちゃんと品があったし……
[Scenarioepisode1100:74] そ、そんなことないよ。なんとな〜く、とーこちゃんが言いたいのはそういうことかな〜って思っただけだし……
[Scenarioepisode1100:114] るいるい、ちょっとだけ見てみなよ～。とーこちゃん、すごいんだよ
[Scenarioepisode1100:142] あはは〜……まあまあ、とーこちゃん落ち着いて。るいるいも口に出さないだけで、ちゃんと思ってるはずだよ〜
[Scenarioepisode1100:207] あはは……とーこちゃん、今日はこれくらいにして練習しようか～
[Scenarioepisode1150:119] なになに～？とーこちゃん、何を思いついたの～？
[Scenarioepisode1150:153] 確かに、とーこちゃんがジャンプすると、いつの間にかお客さんもジャンプするようになったよね～
[Scenarioepisode1150:210] あ！　とーこちゃんずるい～
[Scenarioepisode1170:40] とーこちゃん、作業して３０分くらいで集中切れてたよね
[Scenarioepisode1171:82] さすが、とーこちゃん！まわ柴くんシリーズが人気なのはそこなんだよ～
[Scenarioepisode1171:134] こういうこと～……はい！しろちゃんはすり足をするまわ柴くんで、とーこちゃんは鉄砲するまわ柴くんね
[Scenarioepisode1172:117] わあ、行く行く～。とーこちゃんのオススメのお店って、全部いいところだから楽しみだな～
[Scenarioepisode1204:56] えっ！　一人で写ると真ん中になっちゃう……！とーこちゃん、ちょっと左向きに撮ってくれる？
[Scenarioepisode1226:34] ただ……とーこちゃんが作った、あのTシャツあったでしょ？
[Scenarioepisode1235:48] ん〜、それはさっきとーこちゃんが言ってたかな〜
[Scenarioepisode1235:115] 太陽もとーこちゃんと同じくらい気合い入ってるね〜
[Scenarioepisode1372:13] とーこちゃん、絶対喜んでくれると思うな～
[Scenarioepisode1407:10] わあ、珍しい。とーこちゃん一番乗りだよ～
[Scenarioepisode1407:21] その前に、ちょっと相談してもいいかな？イベントのフライヤーなんだけど、どんなデザインがいいか主催者であるとーこちゃんの意見がほしくて
[Scenarioepisode1407:55] とーこちゃんはやりたいことをはっきり言ってくれるから助かるよ～
[Scenarioepisode1407:70] とーこちゃんはフィーリングで話すことが多いから、ちょっとだけ伝わりにくいのかもね
[Scenarioepisode1407:94] うん……ありがとう、とーこちゃん
[Scenarioepisode1408:70] とーこちゃん
[Scenarioepisode1408:113] きっちり計画を立ててくれたるいるいもすごいけど、行動力と人脈で大抵のことはなんとかしてくれるとーこちゃんもすごいよね～
[Scenarioepisode1409:140] とーこちゃんが言ってたでしょ。このイベントでは、みんなのやりたいことを全部やるって。しろちゃんも、そうすればいいんだよ
[Scenarioepisode1465:9] とーこちゃん、勢いがあっていいね～。具体的には何をやるの？
[Scenarioepisode1471:13] ライブ中のとーこちゃん、すっごい輝いてたよ。堂々としててカッコよかったな～
[Scenarioepisode1471:149] とーこちゃんノリノリだね～
[Scenarioepisode1474:2] とーこちゃん遅いね～
[Scenarioepisode1474:149] あはは……とーこちゃんは、どんな話したいとか、もう決まってるの？
[Scenarioepisode1504:7] とーこちゃん、何回も頭がカクンって落ちてたもんね〜
[Scenarioepisode1504:42] 待って、とーこちゃん！……これ見て！
[Scenarioepisode1504:136] ごめんよ、とーこちゃん。でも思えば、とーこちゃんのチャットって、結構こういう感じだよね
[Scenarioepisode1504:152] るいるいは案外なにも言わないね、とーこちゃんのチャット
[Scenarioepisode1504:174] 広町もバイトがあるから行けないんだ。ごめんね、とーこちゃん
[Scenarioepisode1529:82] さすがとーこちゃん、分かってる～！そうなの！　アルテミアは奥が深いんだよ～
[Scenarioepisode1530:86] あはは……でも、私はとーこちゃんがそう思った理由もわかるな
[Scenarioepisode1532:17] わ～。その虹色のスムージー、とーこちゃんが一時期ハマってたやつだよね
